OverallQual,GrLivArea,TotalBsmtSF,2ndFlrSF,BsmtFinSF1,1stFlrSF,GarageCars,GarageArea,LotArea,YearBuilt,TotRmsAbvGrd,YearRemodAdd,GarageYrBlt,LotFrontage,FullBath,BsmtUnfSF,WoodDeckSF,OpenPorchSF,MasVnrArea,OverallCond
7,2295,1132,1141,5,1154,2,775,11240,2001,8,2001,2001.0409135191335,0.0,2,1126,0,6,0.0,5
7,1947,991,956,221,991,2,678,12550,2003,8,2004,2003.9977445719292,99.88610088241748,2,769,0,135,0.0,5
6,2692,1448,1178,461,1514,2,538,10688,1929,8,1956,1929.8774654241813,64.70355496389587,2,987,0,498,0.0,6
7,2165,1163,966,835,1199,2,571,11162,1983,7,1990,1983.9292066042935,83.38873412352198,2,327,155,167,163.7211388646539,5
3,1663,1375,0,1123,1668,1,526,53166,1953,6,1993,1953.8815209290199,0.0,0,239,231,137,11.096977102682413,5
4,1668,1366,8,1099,1666,1,529,53336,1953,6,1993,1954.0499139364376,0.0,1,247,219,139,0.47066428623874684,6
8,2170,1200,944,0,1225,2,485,12389,1999,9,1999,1999.2589100354262,95.37794117802721,2,1200,123,113,648.6012110717487,5
6,1786,1496,0,925,1786,2,520,14395,1967,7,2004,1967.9804283111177,110.0,2,571,0,80,223.2709743627383,6
7,1947,1807,132,923,1815,2,609,10933,1995,7,1999,1995.6827027565512,84.93077267274626,2,884,146,99,325.8808142223261,5
8,2226,1230,978,139,1248,2,756,11213,2002,8,2002,2002.4275095542132,11.682783441657833,2,1090,23,6,52.156165614008614,5
6,1819,1490,0,1078,1819,2,458,14352,1961,7,2004,1961.6837196506851,110.57351669192062,2,412,0,84,115.74978376265045,6
6,1825,1481,0,1120,1825,2,442,14430,1959,7,2004,1959.759286147723,110.0,2,361,0,85,135.4691760576826,6
7,2314,972,1155,393,1158,2,456,12610,1987,10,1987,1989.4735604847754,93.56842930101497,2,579,225,163,438.54430002242873,6
8,2289,1128,1140,0,1149,2,776,11255,2001,9,2001,2001.9726990656663,0.0,2,1128,0,0,4.436401829201827,5
7,1696,1696,0,1300,1696,2,654,12187,2004,7,2004,2004.8145828208842,97.2833866280498,2,396,157,26,0.0,5
7,1860,1439,415,815,1444,2,567,15125,1999,7,1999,1999.1571780353524,159.27598924280767,2,624,137,53,105.79703368922331,5
6,2016,1377,437,847,1579,1,355,8943,1970,7,1998,1970.7742453557958,59.98924528016487,2,456,232,28,170.817547652136,6
6,2262,1094,799,787,1463,1,213,7577,1949,8,2001,1949.871806539376,60.80894876316173,2,170,225,5,32.287659025667665,7
7,2273,920,1095,741,1177,2,491,12819,1983,9,1983,1985.9870557189263,78.2349837056671,2,178,266,182,249.78891821014113,6
7,1899,1273,608,973,1290,2,528,11948,1999,7,1999,1999.9864117801687,4.349493382442603,2,300,167,126,117.5727776317394,5
7,2453,1424,984,1046,1469,2,569,11076,1991,9,1991,1991.1796849795574,87.57291330607639,2,378,250,97,160.73684726349825,5
6,2549,1252,1159,924,1390,2,515,9121,1978,9,1995,1978.8525352828012,81.45257340002573,2,284,305,42,180.5468548416064,5
6,1802,1483,0,1196,1802,2,417,14646,1962,7,2004,1962.7147980168183,111.66681608823872,2,286,20,80,95.2847537184654,6
7,2289,1322,955,183,1334,2,457,16073,1993,8,1993,1993.0180333003614,121.43243570722031,2,1139,132,75,245.36907682165304,5
7,1661,1494,165,1106,1495,2,605,14793,2002,7,2002,2002.0678819620207,172.9339076679434,2,387,141,42,42.209347906624146,5
7,1964,1411,546,649,1417,2,445,16109,1998,7,1998,1998.1412780697237,122.53027387208367,2,761,147,58,147.29553409385906,5
7,1960,1408,439,1077,1520,2,595,12143,1995,8,1995,1996.9335044491627,83.86654221879084,2,330,206,86,101.93117105149092,5
7,1796,1537,258,1160,1537,2,601,11753,2003,7,2003,2003.1943891644364,42.33918599761789,2,377,160,68,48.75149256021859,5
7,2130,1302,819,403,1310,2,501,18478,1987,7,1987,1987.1475288961253,81.83321044394178,1,898,172,55,192.82485054163496,5
6,1624,1378,130,1234,1494,2,531,20663,1971,4,1987,1971.9540648038092,34.549945762598796,0,143,182,27,33.94859685437362,6
7,2443,1428,995,972,1448,2,627,10051,1993,8,1993,1993.6559225227777,83.22213393129624,2,456,318,59,273.9285489559261,5
7,1822,1678,140,926,1681,2,541,10516,1995,7,1995,1995.6690795779773,62.4195110275673,2,752,251,56,328.95484179804777,5
7,2318,877,1155,713,1163,2,487,12924,1981,9,1981,1984.2892045959054,87.19586463272123,2,164,278,189,265.8241788164485,6
7,2148,1405,708,1047,1439,2,520,11857,1994,8,1994,1994.350736373145,51.58963050330679,2,357,179,121,102.55969339620964,5
7,2246,958,1024,803,1221,2,523,12925,1982,9,1982,1984.6051339003998,93.27039368163649,2,155,245,183,237.4338886989888,6
8,1633,1611,21,1438,1611,2,748,12439,1994,5,1995,1994.260563384879,85.64989933726972,2,173,5,114,4.020120795276343,5
7,2228,1496,683,1137,1545,2,548,11927,1990,9,1990,1990.5708702797658,86.42815270982436,2,358,164,120,84.8709605757963,5
7,1932,1322,602,1002,1329,2,528,11878,1999,7,1999,1999.545620078543,10.502823015160814,2,319,164,121,106.81005279153509,5
8,1850,1317,533,996,1317,2,546,11684,2001,7,2001,2001.4873714708447,4.29146168345649,2,321,158,125,102.98703629988331,5
7,2136,1497,596,1083,1540,2,573,11123,1994,9,1994,1994.5378039286297,83.22689759917074,2,414,179,132,83.1176862497961,5
7,1746,1414,124,920,1621,2,558,22605,1975,5,1987,1975.132839428614,0.0,0,470,173,28,0.0,6
7,2166,1556,44,285,2121,2,506,20592,1968,9,2002,1968.9203836491063,3.8820350083032276,2,1206,5,80,11.364737232443579,6
7,2329,1243,1073,0,1255,2,872,10158,1996,7,1997,1996.413127278206,78.76392726959652,2,1243,217,10,866.6442538246007,5
7,2047,888,1158,160,888,2,596,8971,2004,8,2005,2004.7656480815685,75.0,2,728,128,172,32.3702148287577,5
7,2327,1246,1068,22,1258,2,875,10116,1996,7,1997,1996.5393588980141,78.83404341599568,2,1223,210,6,887.352302593124,5
8,1680,1338,342,912,1338,2,688,8691,2008,7,2008,2008.310106704619,75.0,2,425,99,162,58.947896141815875,5
8,1718,1382,332,574,1385,2,556,13018,2003,6,2003,2003.9364766522845,30.88174651051687,2,807,92,143,181.83141297172327,5
7,2604,1248,1278,0,1325,3,855,11790,1884,7,2003,1951.826904342829,65.31498350738431,1,1248,175,5,8.945531609714521,6
8,1678,1311,333,969,1344,2,618,5199,2006,7,2006,2006.9080732146058,59.659203573775045,2,342,217,45,33.29601786887524,5
7,1601,1503,50,1115,1550,2,630,4204,2003,7,2006,2003.1399086235608,53.57201827528786,2,388,298,2,0.0,5
7,2246,1223,1013,0,1233,3,928,10332,1998,7,1999,1998.4003703233739,80.2001851616869,2,1223,213,12,699.925893217272,5
7,2342,1210,1107,130,1234,2,586,9654,1969,7,2001,1969.8982883471942,72.8305045184277,2,1080,115,28,483.914973959378,6
8,1664,1663,0,66,1664,2,555,8867,2005,6,2005,2005.0972206424185,63.09722064241849,2,1596,458,68,559.2231448275988,5
7,1867,1330,516,359,1351,1,373,9039,1976,7,2006,1976.8792968150847,64.89602163645894,2,971,66,45,17.663653816657035,6
7,2560,1246,1251,0,1308,3,870,11298,1911,7,2001,1962.374314291327,68.76609565388212,1,1246,191,0,247.75529265895977,6
7,2584,1244,1272,0,1311,3,868,11418,1901,7,2001,1958.680666631908,67.6419420184068,1,1244,188,0,173.8020427823327,6
8,1628,1626,0,138,1628,2,538,8901,2005,6,2005,2005.2773706617477,63.27737066174776,2,1487,390,61,454.01553353930717,5
8,1913,1152,761,2,1152,2,1004,10543,2005,7,2005,2005.9018270915772,81.93836892311947,2,1150,221,53,60.474511588495375,5
8,1772,1234,534,156,1237,2,840,10108,2006,7,2006,2006.0,76.67649537825184,2,1077,165,44,11.71760739479706,5
7,2010,1124,883,0,1127,3,1024,10636,2004,7,2004,2004.2362063612225,83.11810318061126,2,1124,196,42,162.44539413140774,5
7,1640,1416,210,400,1429,1,431,9037,1994,6,2006,1994.1263471359239,64.3653431650485,2,1016,98,37,26.154509359224104,5
7,2223,1246,947,231,1275,1,307,9007,1952,8,2005,1952.3457675138475,65.4681671477884,2,1015,87,62,109.20301232078177,8
7,2630,1229,1316,13,1314,3,855,11924,1885,8,2002,1952.379115417854,65.04956490453863,1,1215,182,2,0.0,6
7,2438,1033,1232,319,1206,2,675,15979,1997,9,1999,1997.4868344233107,60.26965106030401,2,714,190,49,0.0,5
8,2416,1209,1052,291,1363,2,673,16170,1993,8,1994,1993.7295489473543,70.42296716166882,2,792,188,73,0.0,5
7,2203,2177,0,440,2203,2,674,15078,1983,7,1983,1983.3134388919507,91.67164027701232,2,1344,82,115,155.76723503582343,6
7,2226,2080,137,396,2089,2,617,15558,1972,8,1973,1972.6755647775947,83.3248082432237,2,960,71,186,0.0,5
7,2404,1048,1207,415,1196,2,654,15356,1996,9,1999,1996.1880240983642,45.76626909840063,2,632,145,46,0.0,5
7,1986,911,1070,346,915,2,589,11165,2003,8,2004,2004.175257085736,92.0,2,565,72,97,50.226799600151196,5
8,1758,1370,296,915,1461,3,812,12951,2003,7,2003,2003.741000621391,22.130436827052677,2,455,112,62,132.082280032996,5
7,1947,1164,773,808,1173,2,458,9872,1995,7,1996,1996.746018665485,84.12657863003324,1,222,157,117,0.0,5
7,1895,1249,633,1003,1262,2,516,10348,1997,7,1998,1998.1411711478083,65.46777081345596,2,245,180,92,136.65524495004942,5
7,1768,1376,392,681,1376,2,500,10154,1994,5,1995,1994.5656608103313,52.151298673096846,1,96,74,74,194.58395697151735,5
8,1779,1060,718,173,1060,2,600,11026,2003,7,2004,2003.4303697987343,67.33449482296618,1,466,0,57,50.582218792405776,5
7,2297,1144,1120,244,1176,1,337,9037,1948,8,2006,1948.198587934476,66.99672756015823,2,900,23,58,0.0,8
8,1964,889,1075,0,889,3,806,10899,2007,8,2008,2007.8980735346545,85.7557500297084,2,889,76,64,53.146058970323864,5
8,1717,1706,0,1156,1717,2,779,14737,1997,8,1998,1997.1598905436615,86.51253420510581,2,425,12,245,200.3041927595028,5
8,1646,1601,0,1275,1646,3,822,14158,2002,8,2002,2002.0,59.43212369117329,2,326,44,194,209.8375219165494,5
6,2298,1247,1002,976,1296,2,546,11239,1990,6,1994,1990.0883634188074,62.13210590248315,2,271,258,166,442.4776895324341,5
7,1803,1361,442,712,1361,2,502,10231,1994,5,1995,1994.5106963778169,54.95448473133577,1,109,83,79,219.20802273800834,5
7,1856,1534,188,1172,1668,2,823,13118,1998,7,2001,1998.4656705042144,0.0,2,361,206,90,187.01899763347228,5
6,2648,1374,1078,956,1569,2,663,12422,1981,10,1996,1981.7201022442302,0.0,2,418,474,239,371.8900712236991,6
6,2485,1803,569,660,1915,2,665,13631,1984,8,1992,1984.4333975141396,51.03378259897761,2,1041,283,160,315.358036331805,7
7,1819,1785,0,38,1819,3,744,14773,2000,7,2001,2000.126123357784,6.229343131059835,2,1732,188,143,182.44882654219066,5
8,1533,1526,0,779,1533,2,551,10245,1997,6,1998,1997.229620028736,18.48029651819731,1,82,66,18,177.99799896075768,5
8,1606,1580,0,1348,1606,2,682,11543,2001,6,2002,2001.0656439562558,0.0,2,231,178,3,457.2718504793491,5
7,1745,1556,63,1202,1682,2,845,13215,2000,7,2001,2000.8122515253372,0.0,2,353,169,69,161.1127431602767,5
6,2315,1250,1011,973,1303,2,548,11268,1989,6,1994,1989.7041787018218,60.27897962055191,2,276,266,169,441.93531110845424,5
6,2543,1375,1007,974,1536,2,611,12336,1983,9,1997,1983.299839963196,14.264996833898252,1,401,461,247,435.63047377820817,6
8,1629,1615,0,713,1629,2,654,13549,2002,6,2003,2002.170868454261,35.88235630921689,1,902,190,144,350.11766277634547,5
7,1952,1070,881,653,1070,2,697,10632,2003,8,2003,2001.7493980376087,74.25012039247825,2,417,197,87,209.96629010608945,5
7,1968,1230,733,1073,1235,2,605,10182,1998,7,1999,1998.7751165316358,55.36371453189166,2,156,234,126,123.76027288452492,5
7,2056,1132,901,99,1154,2,479,21502,2002,8,2002,2002.7250342078914,152.03454176347034,2,996,17,93,47.89637470958894,5
6,2109,783,883,0,1226,2,426,21494,1986,8,1986,1986.24100659664,84.51825287080447,2,783,289,167,0.0,5
8,1784,1586,195,887,1588,3,860,9710,2004,7,2005,2004.18460401108,76.73841604431988,2,699,35,30,246.4932630692826,5
8,1873,1428,441,635,1432,3,865,9861,2004,7,2005,2004.4161726175212,77.66469047008498,2,793,79,36,227.0415001282154,5
6,2197,1782,161,360,2036,2,631,15972,1983,7,1984,1983.8237379866573,66.58167319940885,2,1290,213,112,173.78144536990848,7
6,2089,1066,831,854,1258,2,449,15416,1983,7,1984,1983.654498715875,0.0,2,211,163,90,102.71708343781837,5
7,1695,1602,0,973,1695,2,633,13510,1993,5,1993,1993.3059151526775,0.0,2,629,122,53,156.84126666986313,5
7,1662,1547,0,1326,1662,2,591,13049,1990,5,1990,1990.5134493716023,0.0,2,221,94,18,149.16198577190656,5
8,1677,1555,0,1155,1677,2,513,5867,1996,5,1996,1996.5989006210643,30.703661697575832,2,399,189,51,0.0,5
7,1945,1378,567,1048,1378,2,574,8390,1992,6,1992,1992.4538767774322,42.576510391142016,2,329,193,109,0.0,5
7,1955,1260,678,1099,1276,2,551,7897,1999,7,2000,1999.8809754663714,65.28162675708109,2,160,213,133,54.54828852477071,5
8,1567,1563,0,1168,1567,2,550,7064,2004,5,2005,2004.9284482493572,58.855171989713625,2,394,197,47,240.84827395371133,5
7,1734,1357,295,1178,1439,2,627,12146,1994,6,1994,1993.8871407013141,25.181110899897302,2,178,114,20,192.12599961981516,5
7,1682,1627,0,1277,1682,2,729,11002,1997,6,1997,1997.4018589783814,42.129542755691226,2,350,35,14,210.534500031375,5
8,2169,1226,943,329,1226,2,788,10396,2005,8,2005,2004.585576154323,72.01802980709631,2,896,108,94,276.03605961419265,5
8,1977,1104,873,485,1104,2,750,10779,2005,8,2005,2003.4407177664461,73.44910279194234,2,618,159,69,278.8982055838847,5
7,2097,1033,1056,47,1041,2,863,10215,2004,8,2004,2004.656818115206,79.75487008229003,2,986,194,57,169.2733749295247,5
8,1988,1045,939,308,1049,2,797,10628,2005,8,2005,2003.8698316766922,76.60949503007659,2,737,184,56,235.63858448869797,5
8,1947,1650,296,792,1650,3,859,9590,2004,7,2005,2004.8156532839896,74.09680900402445,2,858,0,59,264.17507542397203,5
8,2447,1361,1083,0,1364,3,870,9761,2006,9,2006,2006.4688864274788,71.92112464886702,2,1361,50,122,245.56877566402122,5
7,1825,1669,123,148,1702,2,706,14722,1999,7,2000,1999.186020390314,0.0,2,1521,178,136,171.02315534736175,5
7,2169,1064,1096,21,1073,2,936,14158,2005,8,2005,2005.6321302201463,106.75190690089437,2,1043,189,61,345.462939381805,5
6,2143,1433,689,679,1442,2,389,158665,1957,7,2006,1958.1544626769899,0.0,1,751,0,97,482.2305371391901,7
6,2140,1444,684,700,1441,1,392,158418,1958,6,2005,1957.791024329472,0.0,1,757,0,99,463.8640767150183,7
8,2037,1523,513,610,1523,2,702,8382,2005,7,2005,2005.9405848805907,64.2326319626583,2,913,107,94,257.2870185670888,5
8,1591,1542,0,1154,1591,2,538,6803,2003,5,2003,2003.4554952504832,53.82198100193308,2,387,205,50,170.01036632377696,5
8,1673,1543,0,1156,1673,2,510,5822,1997,5,1997,1997.3603029370493,32.78482802793474,2,387,194,53,0.0,5
8,1653,1539,0,1247,1653,2,491,4903,2001,5,2002,2001.6691149452804,41.669114945280455,2,292,176,56,72.60650011969986,5
8,2027,2027,0,1129,2027,2,549,8421,1993,7,1993,1993.3639818169152,69.69668181923741,2,898,334,82,126.73081362337982,5
8,2156,2156,0,1122,2156,2,547,8727,1990,7,1990,1990.1519166312341,72.37340280730488,2,1034,370,92,93.80714547014989,5
7,1642,1642,0,452,1642,3,849,10961,2005,7,2006,2005.1286923495488,97.97046120361017,2,1190,144,99,190.98739014043213,5
7,1531,1458,72,82,1458,2,818,10769,2005,7,2006,2005.3063002476754,89.87273790247241,2,1375,164,36,325.4235930650908,5
8,1889,1378,511,988,1378,2,697,11758,2000,7,2000,2000.3376068412838,89.29843306620509,2,389,175,117,339.8746435755833,5
7,1748,1748,0,774,1748,3,856,11181,2004,7,2005,2004.50906442763,102.92748457896106,2,974,133,146,109.19650444714266,5
7,2130,1066,1056,160,1073,2,887,13794,2004,8,2004,2004.6571509495209,103.796459929393,2,906,194,64,380.21410363578264,5
7,1906,1673,231,820,1675,3,879,11949,2004,7,2005,2004.420896074738,107.42089607473798,2,852,139,159,106.81799550964993,5
7,1521,1523,7,638,1539,1,575,70101,1975,4,1975,1975.3488343686017,61.86465455338505,1,874,197,56,0.0,5
7,1529,1540,26,652,1549,1,584,71244,1975,5,1975,1975.5417264369476,62.10440633577441,1,879,202,50,0.0,5
7,1633,1361,272,311,1361,2,759,11094,2003,7,2004,2003.3967782266948,86.76976461837884,2,1050,175,46,378.89020965254906,5
8,1865,1583,282,1011,1583,2,771,11580,2001,7,2002,2001.9794589874466,97.23405177265902,2,572,152,147,206.33733568766905,5
8,2427,1093,1295,0,1131,3,653,12494,2005,8,2006,2005.106729677716,87.78654064456806,2,1093,147,42,302.95421499976936,5
7,1984,1083,867,0,1116,3,766,11286,2006,8,2006,2006.0,87.6463617927441,2,1083,178,73,756.6475449903514,5
7,2207,1066,1129,0,1078,3,911,13981,2005,9,2006,2005.8841026709122,106.56615608915669,2,1066,186,59,337.8307804457835,5
7,1753,1388,354,0,1399,3,787,11180,2005,7,2006,2005.7372218241228,90.21166547236847,2,1388,155,34,289.9705312714921,5
8,1705,1404,302,682,1402,3,727,14391,2005,7,2006,2005.938210052731,60.679689419959566,2,721,151,144,151.95455662521928,5
7,1838,1262,581,438,1256,3,855,14673,2006,7,2006,2006.4716008838323,80.70394697006131,2,823,180,108,224.55416490060514,5
7,2086,1206,864,17,1222,3,896,14401,2006,8,2006,2006.0,105.56544285502362,2,1189,150,48,296.33504460974416,5
8,2888,1566,0,1155,2888,2,665,15496,1976,9,1976,1976.2608719022153,0.0,2,14,0,71,0.8695730073839769,5
8,2455,2193,494,842,1961,2,654,10670,1995,8,2001,1995.685394651184,85.0,2,1190,0,21,323.2635290274051,5
7,1943,1538,785,929,1158,3,873,10632,2003,7,2004,2003.0,85.0,2,492,241,46,292.97983819381767,5
7,2158,1060,1074,569,1084,3,797,11095,2003,8,2004,2003.0,87.74018501555884,2,491,246,75,308.4411100933531,5
7,2005,1043,939,408,1066,3,808,10857,2004,8,2005,2004.5837797367421,85.52792657891408,2,635,244,68,553.8515831413822,5
8,2736,1542,846,543,1889,2,622,10357,1994,8,2000,1994.0080036511388,65.81240955578455,2,999,0,35,350.16357949079895,5
7,2620,1474,833,750,1787,2,641,10661,1995,8,2001,1995.3498363999556,85.0,2,723,97,41,323.296123818363,5
8,2307,1105,1180,0,1126,2,806,10336,2001,8,2002,2001.7948339849952,36.357197294772654,2,1105,41,66,373.74464842013543,5
8,2491,1299,1046,165,1445,2,628,11686,2000,9,2003,2000.396006114627,91.10618626518325,2,1134,79,84,339.28981984944375,5
8,1644,1611,0,777,1644,3,738,10720,2003,7,2003,2003.5933887535216,86.81322249295704,2,834,188,42,209.42313936267482,5
8,2076,1645,252,937,1824,2,647,11054,1998,7,2001,1998.6055583137936,88.30277915689683,2,708,169,40,256.4121885717173,5
8,1817,1608,130,1073,1687,2,657,5933,1999,5,2001,1999.4189862328967,48.72940063917164,1,535,0,104,59.20018216820094,5
7,2024,1026,990,879,1034,2,861,10352,2002,7,2003,2002.9043841040861,82.89645028989737,1,146,304,64,278.04007919659165,5
8,2360,1535,0,1076,2360,2,698,15407,1987,8,1987,1987.6118421802737,17.72877771011873,2,208,62,104,31.46434655299947,5
7,1844,1503,0,1243,1844,2,491,15597,1959,6,1996,1959.6722753276056,96.0058936418729,2,243,0,54,0.0,7
8,2589,1391,958,374,1630,2,710,10010,1996,8,2000,1996.1804463248097,45.053512896261516,2,1016,0,38,364.40514812930894,5
8,1659,1511,144,0,1515,2,847,9259,2007,7,2008,2007.1654944362185,68.58200863732228,2,1511,0,37,218.0814462691253,5
8,1696,1483,208,0,1487,2,851,9258,2006,7,2007,2006.791544355423,64.36171486834509,2,1483,0,37,228.87257717207967,5
8,2162,1622,335,315,1826,2,705,9901,2000,7,2004,2000.7788558426976,81.15925056881977,2,1306,0,34,258.5389759058895,5
7,2214,1525,0,1216,2214,2,552,15562,1965,7,1989,1965.415047157645,61.88707276928574,2,158,0,60,0.0,7
7,2534,1543,0,1192,2534,2,605,15532,1970,8,1982,1970.366488786687,32.46968426733085,2,84,0,66,0.0,6
8,2276,1156,1108,512,1168,3,672,11776,1998,9,2006,1998.902421293883,91.34134373371073,2,641,134,58,352.0251216273233,6
7,2457,1190,1255,554,1201,3,708,10404,1996,9,1998,1996.001601794111,84.50400448527749,2,635,200,99,304.52322601460946,5
7,2520,1200,1307,578,1213,3,730,9962,1994,8,1994,1994.925599319084,82.74400680915993,2,622,230,111,297.5144687725153,5
7,2266,1057,1209,8,1057,2,902,9250,2000,7,2001,2000.914721422794,0.1796869846831015,2,1049,3,45,394.49341180269386,5
8,1658,1658,0,1244,1658,2,525,10125,2006,7,2006,2006.1698859185592,83.8107985700852,2,413,310,49,413.03467733907047,5
8,2395,1239,1123,812,1272,2,792,10129,1995,8,1995,1995.813609941644,90.9420608673743,2,427,310,73,395.38289069230655,5
8,2515,1160,1318,709,1196,2,846,10083,1994,7,1994,1994.2924185773861,88.11501032901215,2,451,296,76,391.2088704124187,5
8,2530,1303,1214,122,1315,3,760,12048,1994,8,1994,1994.902357368731,67.63635104426396,2,1122,230,96,501.0875989851777,5
8,2358,1385,965,286,1393,2,702,11846,1997,8,1997,1997.1745454748107,68.95371904511025,2,1048,241,88,494.61520644023733,5
8,1742,1627,114,1109,1628,2,523,10379,2004,8,2004,2004.9553948213152,83.10071785693677,2,511,312,54,428.831661965244,5
8,1654,1651,0,1328,1654,2,610,9937,2006,7,2006,2006.7386369639967,79.82954125202356,2,323,273,47,389.71588447613794,5
8,1655,1653,0,1304,1655,2,586,9992,2006,7,2006,2006.5733882882103,80.98628198252834,2,349,284,48,396.4910801833803,5
7,2425,1246,878,100,1546,2,586,17706,1955,9,2002,1979.6490473037818,16.14193664595888,2,315,235,37,0.0,7
7,2728,1309,1144,72,1583,2,666,17899,1934,9,2002,1986.274624094631,36.2471351837078,2,642,254,27,0.0,7
7,2945,1355,1336,51,1609,2,724,18037,1918,9,2002,1991.026007729076,50.665126902023275,2,877,268,19,0.0,8
7,2851,1303,1444,274,1407,3,765,14914,1942,9,2004,2000.9028540897991,89.62143238775121,2,1028,212,29,182.45169418748412,7
8,1657,1657,0,1135,1657,2,524,10185,2006,8,2006,2006.138748297368,83.33502043158374,2,522,311,49,409.5938776973984,5
7,2252,1329,913,395,1339,3,762,10033,1998,8,1998,1998.909694979188,75.68433887977304,2,933,208,92,283.9850846474029,5
8,2304,1373,905,868,1398,2,828,9652,1988,9,2000,1999.353837328526,31.94669125246729,2,458,85,138,308.35618111082454,7
8,1644,1636,0,219,1644,3,854,10295,2007,7,2008,2007.8297836690563,64.06389395698596,2,1416,178,42,281.23427784228187,5
8,2619,1180,1436,109,1183,2,575,8996,2004,11,2006,2005.8350419828682,68.18947620753681,2,1063,189,349,25.89791284239294,5
7,2728,1468,1211,79,1517,2,599,10247,1985,8,1987,1987.656855427665,77.83622539902085,2,45,182,106,182.97886929097194,5
7,2707,1443,1222,34,1484,2,571,10125,1989,8,1990,1990.686346833189,83.97250924174602,2,206,202,145,140.29741723457428,5
7,2722,1324,1355,297,1367,2,701,9682,1981,9,1991,1990.443195437131,43.20599956708739,2,239,102,149,229.55055230633076,6
8,1731,1731,0,1227,1731,2,764,11748,2005,7,2006,2006.6570524915383,97.32852624576911,2,503,25,48,233.95738699967626,5
8,2323,1767,555,973,1768,2,715,12367,1992,7,1992,1992.3637516186882,53.36628722982737,2,794,359,21,464.824463218504,5
7,2790,1465,1312,370,1477,2,707,9770,1989,8,1989,1989.2647852986338,20.321226339621482,2,733,426,23,295.8082629919779,5
8,2784,1368,1406,507,1377,2,772,9405,1986,9,1991,1991.0906018984192,0.0,2,839,363,55,323.1854276935735,6
6,1819,1646,0,1233,1820,2,738,115909,1970,5,2002,1971.3379039560662,0.0,2,417,380,49,345.80750621963375,4
7,1569,1546,0,726,1569,2,596,76379,1974,5,1978,1974.4936659708953,54.025239041601765,2,820,222,53,44.43081105393304,5
8,2274,1471,802,843,1471,2,742,12131,2003,10,2003,2003.1381412834462,84.65464679138438,2,628,169,12,218.19501748528705,5
8,2394,1472,922,558,1472,2,669,9489,2005,9,2006,2005.9410188733114,76.76496854448119,2,913,193,235,86.83645238847437,5
8,2130,1742,387,1169,1742,3,818,11308,2003,8,2004,2003.5033755810346,82.48312209482734,2,573,168,0,236.06751162069062,5
8,2359,1398,960,645,1398,2,693,11335,2004,10,2004,2004.119739436563,82.20065140859256,2,753,179,101,162.734721834192,5
