GrLivArea,OverallQual,1stFlrSF,TotalBsmtSF,GarageArea,2ndFlrSF,LotArea,ExterQual_3,YearBuilt,KitchenQual_3,GarageYrBlt,ExterQual_2,YearRemodAdd,TotRmsAbvGrd,BsmtFinSF1,GarageCars,OpenPorchSF,FullBath,BsmtUnfSF,MasVnrArea,Price3Classes
1768.0,4.0,1768.0,1768.0,0.0,0.0,10778.0,1.0,1968.0,1.0,-1.0,0.0,1968.0,8.0,0.0,0.0,0.0,2.0,1768.0,0.0,<200000
1230.0,5.0,682.0,440.0,440.0,548.0,10440.0,1.0,1910.0,1.0,1966.0,0.0,1981.0,5.0,0.0,2.0,0.0,1.0,440.0,0.0,<200000
2142.0,6.0,1182.0,896.0,509.0,960.0,13000.0,1.0,1968.0,0.0,1968.0,0.0,1968.0,8.0,448.0,1.0,72.0,2.0,448.0,576.0,<200000
1337.0,6.0,1337.0,1237.0,405.0,0.0,4500.0,1.0,1998.0,1.0,1998.0,0.0,1998.0,5.0,1201.0,2.0,199.0,2.0,36.0,443.0,<200000
1563.0,8.0,1563.0,1563.0,758.0,0.0,10206.0,1.0,2007.0,0.0,2007.0,0.0,2007.0,6.0,33.0,3.0,99.0,2.0,1530.0,468.0,"[200000,400000]"
1065.0,5.0,1065.0,1065.0,461.0,0.0,8892.0,1.0,1960.0,1.0,1974.0,0.0,1960.0,6.0,0.0,2.0,0.0,1.0,1065.0,66.0,<200000
1474.0,7.0,804.0,384.0,400.0,670.0,8530.0,1.0,1995.0,1.0,1995.0,0.0,1996.0,7.0,0.0,2.0,72.0,2.0,384.0,22.0,<200000
2417.0,8.0,1301.0,1288.0,462.0,1116.0,16059.0,0.0,1991.0,0.0,1991.0,1.0,1992.0,9.0,0.0,2.0,82.0,2.0,1288.0,284.0,"[200000,400000]"
1560.0,6.0,684.0,684.0,400.0,876.0,11911.0,0.0,2005.0,0.0,2005.0,1.0,2005.0,6.0,0.0,2.0,38.0,2.0,684.0,0.0,<200000
1224.0,6.0,612.0,612.0,528.0,612.0,3951.0,0.0,2009.0,0.0,2009.0,1.0,2009.0,4.0,0.0,2.0,234.0,2.0,612.0,76.0,<200000
1526.0,3.0,1013.0,1013.0,0.0,0.0,8470.0,0.0,1915.0,0.0,-1.0,0.0,1982.0,6.0,0.0,0.0,0.0,1.0,1013.0,0.0,<200000
990.0,4.0,990.0,990.0,0.0,0.0,8070.0,1.0,1994.0,1.0,-1.0,0.0,1995.0,5.0,588.0,0.0,0.0,1.0,402.0,0.0,<200000
1040.0,4.0,1040.0,0.0,420.0,0.0,7200.0,1.0,1950.0,1.0,1950.0,0.0,1950.0,4.0,0.0,2.0,29.0,1.0,0.0,0.0,<200000
1235.0,5.0,1235.0,1235.0,480.0,0.0,8500.0,1.0,1961.0,1.0,1961.0,0.0,1961.0,6.0,600.0,2.0,0.0,1.0,635.0,203.0,<200000
964.0,5.0,964.0,876.0,432.0,0.0,13360.0,1.0,1921.0,1.0,1921.0,0.0,2006.0,5.0,713.0,2.0,0.0,1.0,163.0,0.0,<200000
2291.0,6.0,1260.0,1214.0,506.0,1031.0,7200.0,1.0,1910.0,1.0,1900.0,0.0,1998.0,9.0,1046.0,2.0,0.0,2.0,168.0,0.0,<200000
1786.0,6.0,905.0,824.0,684.0,881.0,9337.0,1.0,1997.0,0.0,1997.0,0.0,1997.0,7.0,648.0,2.0,162.0,2.0,176.0,0.0,"[200000,400000]"
1470.0,6.0,680.0,680.0,420.0,790.0,9765.0,0.0,1993.0,1.0,1993.0,0.0,1993.0,6.0,310.0,2.0,63.0,2.0,370.0,68.0,<200000
1588.0,7.0,1588.0,1588.0,472.0,0.0,10264.0,0.0,1999.0,0.0,1999.0,1.0,1999.0,6.0,1162.0,2.0,29.0,2.0,426.0,183.0,"[200000,400000]"
960.0,4.0,960.0,960.0,432.0,0.0,10921.0,1.0,1965.0,1.0,1965.0,0.0,1965.0,6.0,520.0,1.0,0.0,1.0,440.0,48.0,<200000
835.0,5.0,835.0,458.0,366.0,0.0,10625.0,1.0,1920.0,1.0,1920.0,0.0,1950.0,5.0,108.0,1.0,0.0,1.0,350.0,0.0,<200000
1225.0,4.0,1225.0,950.0,0.0,0.0,9320.0,1.0,1959.0,1.0,-1.0,0.0,1959.0,6.0,569.0,0.0,0.0,1.0,381.0,0.0,<200000
1610.0,6.0,1610.0,1610.0,480.0,0.0,10603.0,1.0,1977.0,0.0,1977.0,0.0,2001.0,6.0,1200.0,2.0,68.0,2.0,410.0,28.0,"[200000,400000]"
1732.0,6.0,977.0,741.0,476.0,755.0,9206.0,0.0,1985.0,0.0,1985.0,1.0,1985.0,7.0,0.0,2.0,46.0,2.0,741.0,336.0,<200000
1535.0,5.0,1535.0,0.0,410.0,0.0,7018.0,1.0,1979.0,1.0,1979.0,0.0,1979.0,8.0,0.0,2.0,0.0,2.0,0.0,0.0,<200000
1226.0,7.0,1226.0,1226.0,740.0,0.0,10402.0,1.0,2009.0,0.0,2009.0,0.0,2009.0,6.0,0.0,3.0,36.0,2.0,1226.0,0.0,<200000
1818.0,7.0,1226.0,1040.0,240.0,592.0,7758.0,1.0,1931.0,1.0,1951.0,0.0,1950.0,7.0,224.0,1.0,0.0,1.0,816.0,600.0,<200000
1992.0,8.0,1053.0,1053.0,648.0,939.0,9375.0,0.0,2003.0,0.0,2003.0,1.0,2004.0,9.0,0.0,2.0,45.0,2.0,1053.0,768.0,"[200000,400000]"
1047.0,4.0,1047.0,641.0,273.0,0.0,10800.0,1.0,1885.0,1.0,1954.0,0.0,1995.0,6.0,0.0,1.0,0.0,1.0,641.0,0.0,<200000
789.0,5.0,789.0,789.0,250.0,0.0,6000.0,1.0,1948.0,1.0,1948.0,0.0,1950.0,5.0,104.0,1.0,0.0,1.0,516.0,0.0,<200000
1517.0,5.0,997.0,793.0,0.0,520.0,8500.0,1.0,1919.0,0.0,-1.0,0.0,2005.0,7.0,0.0,0.0,0.0,2.0,793.0,0.0,<200000
1844.0,6.0,1844.0,1844.0,546.0,0.0,11751.0,1.0,1977.0,1.0,1977.0,0.0,1977.0,7.0,705.0,2.0,122.0,2.0,1139.0,480.0,<200000
1855.0,6.0,1216.0,994.0,325.0,639.0,9525.0,1.0,1954.0,1.0,1954.0,0.0,1972.0,7.0,444.0,1.0,0.0,2.0,550.0,0.0,<200000
1430.0,7.0,774.0,384.0,400.0,656.0,7750.0,1.0,2000.0,1.0,2000.0,0.0,2000.0,7.0,250.0,2.0,0.0,2.0,134.0,0.0,<200000
2696.0,7.0,1282.0,1264.0,792.0,1414.0,9965.0,0.0,2007.0,0.0,2007.0,1.0,2007.0,10.0,984.0,3.0,184.0,2.0,280.0,220.0,"[200000,400000]"
2259.0,6.0,2259.0,1809.0,450.0,0.0,21000.0,1.0,1953.0,0.0,1953.0,0.0,1953.0,7.0,35.0,2.0,120.0,2.0,905.0,184.0,"[200000,400000]"
2320.0,6.0,1436.0,1028.0,180.0,884.0,7259.0,1.0,1945.0,0.0,1945.0,0.0,2002.0,9.0,774.0,1.0,0.0,2.0,104.0,0.0,"[200000,400000]"
1458.0,6.0,729.0,729.0,440.0,729.0,3230.0,1.0,1999.0,1.0,1999.0,0.0,1999.0,5.0,419.0,2.0,32.0,2.0,310.0,1129.0,<200000
1092.0,5.0,1092.0,1092.0,288.0,0.0,11616.0,1.0,1962.0,1.0,1962.0,0.0,1962.0,6.0,170.0,1.0,20.0,1.0,252.0,116.0,<200000
1125.0,5.0,1125.0,1125.0,430.0,0.0,8536.0,1.0,2006.0,1.0,2007.0,0.0,2007.0,5.0,0.0,2.0,64.0,1.0,1125.0,0.0,<200000
3222.0,7.0,1699.0,1673.0,594.0,1523.0,12376.0,1.0,1990.0,0.0,1990.0,0.0,1990.0,11.0,1470.0,3.0,0.0,3.0,203.0,0.0,"[200000,400000]"
1456.0,6.0,728.0,728.0,390.0,728.0,8461.0,0.0,2005.0,0.0,2005.0,1.0,2006.0,8.0,0.0,2.0,24.0,2.0,728.0,0.0,<200000
988.0,6.0,988.0,938.0,540.0,0.0,21453.0,1.0,1969.0,1.0,1969.0,0.0,1969.0,4.0,938.0,2.0,130.0,1.0,0.0,0.0,<200000
1123.0,4.0,772.0,732.0,264.0,351.0,6060.0,1.0,1939.0,1.0,1979.0,0.0,1950.0,4.0,0.0,1.0,0.0,1.0,732.0,0.0,<200000
1080.0,6.0,1080.0,1080.0,288.0,0.0,9464.0,1.0,1958.0,1.0,1958.0,0.0,1958.0,5.0,570.0,1.0,0.0,1.0,510.0,135.0,<200000
1199.0,6.0,1199.0,1199.0,530.0,0.0,7892.0,0.0,1993.0,0.0,1993.0,1.0,1993.0,5.0,300.0,2.0,63.0,2.0,899.0,0.0,<200000
1586.0,6.0,1586.0,1362.0,435.0,0.0,17043.0,1.0,1979.0,1.0,1979.0,0.0,1998.0,7.0,0.0,2.0,0.0,2.0,1362.0,0.0,<200000
754.0,6.0,520.0,520.0,0.0,0.0,6780.0,1.0,1935.0,1.0,-1.0,0.0,1982.0,5.0,490.0,0.0,0.0,1.0,30.0,0.0,<200000
958.0,6.0,958.0,1078.0,440.0,0.0,4928.0,1.0,1976.0,1.0,1977.0,0.0,1976.0,5.0,120.0,2.0,205.0,2.0,958.0,0.0,<200000
840.0,5.0,840.0,672.0,0.0,0.0,4388.0,1.0,1930.0,1.0,-1.0,0.0,1950.0,5.0,116.0,0.0,0.0,1.0,556.0,0.0,<200000
1348.0,6.0,660.0,660.0,453.0,688.0,7590.0,1.0,1966.0,1.0,1966.0,0.0,1966.0,6.0,512.0,2.0,108.0,1.0,148.0,266.0,<200000
1053.0,5.0,1053.0,1008.0,750.0,0.0,8973.0,1.0,1958.0,0.0,1998.0,0.0,1991.0,6.0,567.0,2.0,80.0,1.0,413.0,85.0,<200000
2157.0,7.0,1216.0,924.0,487.0,941.0,14200.0,1.0,1966.0,0.0,1966.0,0.0,1966.0,8.0,445.0,2.0,66.0,2.0,479.0,309.0,"[200000,400000]"
2054.0,6.0,1022.0,992.0,390.0,1032.0,12224.0,0.0,2000.0,0.0,2000.0,1.0,2000.0,7.0,695.0,2.0,48.0,2.0,297.0,40.0,"[200000,400000]"
1327.0,5.0,1327.0,1063.0,624.0,0.0,7388.0,1.0,1959.0,0.0,1974.0,0.0,2002.0,7.0,405.0,2.0,0.0,1.0,658.0,0.0,<200000
1296.0,8.0,1296.0,1267.0,471.0,0.0,6853.0,0.0,2001.0,0.0,2001.0,1.0,2002.0,6.0,1005.0,2.0,25.0,2.0,262.0,136.0,"[200000,400000]"
1721.0,5.0,1721.0,1461.0,440.0,0.0,10335.0,1.0,1968.0,1.0,1968.0,0.0,1993.0,7.0,570.0,2.0,96.0,2.0,891.0,0.0,<200000
1682.0,7.0,1682.0,1304.0,530.0,0.0,10400.0,1.0,1970.0,1.0,1970.0,0.0,1970.0,7.0,0.0,2.0,0.0,2.0,1304.0,288.0,<200000
1214.0,5.0,1214.0,1214.0,318.0,0.0,10355.0,1.0,1967.0,1.0,1967.0,0.0,1967.0,5.0,695.0,1.0,111.0,2.0,519.0,196.0,<200000
1959.0,7.0,1959.0,1907.0,766.0,0.0,11070.0,1.0,1988.0,1.0,1989.0,0.0,1989.0,9.0,0.0,3.0,0.0,3.0,1907.0,70.0,<200000
1852.0,8.0,1004.0,1004.0,660.0,848.0,9066.0,0.0,1999.0,0.0,1999.0,1.0,2000.0,7.0,668.0,3.0,106.0,2.0,336.0,320.0,"[200000,400000]"
864.0,4.0,864.0,864.0,0.0,0.0,10500.0,1.0,1971.0,1.0,-1.0,0.0,1971.0,5.0,432.0,0.0,0.0,1.0,432.0,0.0,<200000
1734.0,7.0,1734.0,1734.0,660.0,0.0,11645.0,0.0,2005.0,0.0,2005.0,1.0,2005.0,7.0,1300.0,2.0,24.0,2.0,434.0,0.0,"[200000,400000]"
1385.0,5.0,910.0,910.0,720.0,475.0,8520.0,1.0,1952.0,1.0,2000.0,0.0,1952.0,6.0,507.0,2.0,0.0,2.0,403.0,0.0,<200000
1501.0,7.0,1501.0,1490.0,577.0,0.0,10335.0,0.0,1999.0,0.0,1999.0,1.0,1999.0,6.0,679.0,2.0,29.0,2.0,811.0,183.0,"[200000,400000]"
1728.0,5.0,1728.0,1728.0,504.0,0.0,9100.0,1.0,1963.0,1.0,1963.0,0.0,1963.0,10.0,1332.0,2.0,0.0,2.0,396.0,336.0,<200000
1709.0,6.0,970.0,970.0,380.0,739.0,2522.0,0.0,2004.0,0.0,2004.0,1.0,2006.0,7.0,0.0,2.0,40.0,2.0,970.0,50.0,<200000
875.0,5.0,875.0,715.0,180.0,0.0,6120.0,1.0,1931.0,1.0,1931.0,0.0,1993.0,5.0,209.0,1.0,0.0,1.0,506.0,0.0,<200000
2035.0,7.0,884.0,884.0,434.0,1151.0,9505.0,0.0,2001.0,0.0,2001.0,1.0,2001.0,8.0,0.0,2.0,48.0,2.0,884.0,180.0,"[200000,400000]"
1080.0,7.0,1080.0,1080.0,0.0,0.0,7500.0,1.0,2004.0,0.0,-1.0,0.0,2005.0,6.0,680.0,0.0,0.0,1.0,400.0,120.0,<200000
1344.0,5.0,896.0,896.0,240.0,448.0,6240.0,1.0,1936.0,1.0,1936.0,0.0,1950.0,7.0,0.0,1.0,114.0,1.0,896.0,0.0,<200000
